#Duplication rate	Coverage
1.0	1576278.0
2.0	508688.0
3.0	169107.0
4.0	73524.0
5.0	33139.0
6.0	17320.0
7.0	9467.0
8.0	5586.0
9.0	3573.0
10.0	2288.0
11.0	1593.0
12.0	1164.0
13.0	875.0
14.0	694.0
15.0	549.0
16.0	468.0
17.0	403.0
18.0	327.0
19.0	312.0
20.0	260.0
21.0	248.0
22.0	179.0
23.0	197.0
24.0	190.0
25.0	193.0
26.0	164.0
27.0	148.0
28.0	140.0
29.0	145.0
30.0	113.0
31.0	108.0
32.0	91.0
33.0	107.0
34.0	81.0
35.0	87.0
36.0	86.0
37.0	79.0
38.0	79.0
39.0	73.0
40.0	63.0
41.0	56.0
42.0	65.0
43.0	60.0
44.0	56.0
45.0	45.0
46.0	46.0
47.0	60.0
48.0	39.0
49.0	38.0
50.0	1188.0
