#Coverage (X)	Coverage
1.0	99.23666859832173
2.0	99.23310689510373
3.0	99.22453577558144
4.0	99.21831718982439
5.0	99.2081831982203
6.0	99.19840290924525
7.0	99.18299628077573
8.0	99.16003851245836
9.0	99.12498082397084
10.0	99.08082557483874
11.0	99.01462560371075
12.0	98.91114702061058
13.0	98.77247913874233
14.0	98.5799826521199
15.0	98.32859879058378
16.0	97.99399610351313
17.0	97.56920747168014
18.0	97.04605660640424
19.0	96.4054106631472
20.0	95.61375837421821
21.0	94.68355336241646
22.0	93.59262752110803
23.0	92.33779752663155
24.0	90.93188715570031
25.0	89.3607565287953
26.0	87.62869120567767
27.0	85.74965010173064
28.0	83.71984942138774
29.0	81.55567464458026
30.0	79.27169338423909
31.0	76.8804086170186
32.0	74.40442440860714
33.0	71.83971841980471
34.0	69.24103230168696
35.0	66.58256221361911
36.0	63.90502508615332
37.0	61.22666539443395
38.0	58.56951140917184
39.0	55.919785179119536
40.0	53.31790751169789
41.0	50.74798646552777
42.0	48.23375301932491
43.0	45.80957390760382
44.0	43.451635895223404
45.0	41.179919067903086
46.0	38.993518604963924
47.0	36.865010214191614
48.0	34.8281930607657
49.0	32.87115641429436
50.0	31.014217611840976
51.0	29.235405962192473
