#Mapping quality	mapping quality
0.0	186557.0
1.0	173226.0
2.0	47591.0
3.0	31995.0
4.0	25031.0
5.0	22438.0
6.0	22210.0
7.0	21552.0
8.0	24402.0
9.0	26355.0
10.0	36370.0
11.0	31608.0
12.0	20718.0
13.0	18092.0
14.0	17154.0
15.0	15823.0
16.0	17427.0
17.0	17007.0
18.0	17008.0
19.0	17484.0
20.0	18103.0
21.0	16462.0
22.0	15292.0
23.0	12610.0
24.0	12945.0
25.0	13885.0
26.0	12882.0
27.0	13209.0
28.0	14109.0
29.0	13770.0
30.0	13806.0
31.0	13499.0
32.0	14595.0
33.0	16075.0
34.0	18795.0
35.0	21165.0
36.0	24991.0
37.0	32961.0
38.0	57962.0
39.0	141490.0
40.0	446369.0
41.0	1491646.0
42.0	3723929.0
43.0	4997072.0
44.0	116636.0
