Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
A01_Carolyn_S1	A01_Carolyn_S1.bam	4784150.0	4645211.0	625293802.0	625234578.0	280.2816	243.0	38.2269	0.0168	51.4344	97.09584774724873
A02_Maia_S7	A02_Maia_S7.bam	4849524.0	4711508.0	621914928.0	621855374.0	268.1911	235.0	38.0118	0.0168	51.1565	97.15402996252827
A04_Ron_S12	A04_Ron_S12.bam	5563828.0	5505309.0	784622640.0	784560887.0	286.3838	252.0	39.0205	0.0167	64.5403	98.94822413633204
A05_Sarah_S18	A05_Sarah_S18.bam	3288084.0	3251192.0	441393733.0	441353056.0	292.8074	252.0	38.3169	0.0179	36.3075	98.87800919927837
A06_Larissa_S24	A06_Larissa_S24.bam	7647706.0	7336440.0	901126949.0	901032264.0	248.216	225.0	37.0932	0.0135	74.1235	95.9299429136005
A08_Shivanshi_S30	A08_Shivanshi_S30.bam	6316848.0	6280421.0	825735517.0	825660686.0	258.8232	226.0	37.9342	0.0146	67.9221	99.42333581558398
A09_Megan_S36	A09_Megan_S36.bam	5645092.0	5609933.0	757892247.0	757824582.0	273.7899	240.0	38.2951	0.0165	62.3415	99.37717578384905
A10_Alisha_S42	A10_Alisha_S42.bam	5678182.0	5649510.0	817793520.0	817730208.0	291.0341	265.0	39.2129	0.0177	67.2688	99.49504964793309
B01_Carolyn__S2	B01_Carolyn__S2.bam	3974814.0	3895826.0	529804655.0	529753495.0	296.855	256.0	38.3126	0.018	43.5798	98.01278751659827
B04_Elli__S13	B04_Elli__S13.bam	7774668.0	60.0	6678.0	6678.0	258.7895	222.0	1.2667	0.0839	0.0005	0.0007717371339843707
B05_Naomi__S19	B05_Naomi__S19.bam	5604698.0	5378804.0	715881983.0	715810198.0	271.6106	238.0	37.883	0.0162	58.8859	95.96955982284861
B06_Mia__S25	B06_Mia__S25.bam	7317844.0	7162411.0	968215750.0	968142521.0	271.7919	242.0	38.0482	0.0154	79.642	97.87597275918974
B08_Shivanshi_S31	B08_Shivanshi_S31.bam	5609646.0	5572336.0	771717330.0	771648352.0	252.1749	221.0	38.6664	0.0162	63.4787	99.33489564225621
B09_Megan__S37	B09_Megan__S37.bam	6645834.0	6548431.0	861535352.0	861462018.0	268.6447	236.0	37.6976	0.0159	70.8668	98.53437506865204
B10_Alisha_S43	B10_Alisha_S43.bam	1910464.0	1886689.0	273699018.0	273677428.0	281.2945	265.0	38.8217	0.0245	22.5135	98.75553792167766
C01_Emine_S3	C01_Emine_S3.bam	5641814.0	5603403.0	814854764.0	814794597.0	290.1771	266.0	39.2264	0.018	67.027	99.31917287595799
C02_Stephanie_S8	C02_Stephanie_S8.bam	6258168.0	6141707.0	848115661.0	848048872.0	257.4251	225.0	38.5191	0.0154	69.763	98.13905603045492
C04_Anastasia__S14	C04_Anastasia__S14.bam	892774.0	885642.0	123230925.0	123219835.0	314.5991	279.0	38.6484	0.0184	10.1365	99.20114161030675
C05_Anisha_S20	C05_Anisha_S20.bam	5343634.0	5301986.0	730360673.0	730295776.0	274.2259	237.0	38.5318	0.0168	60.0769	99.22060530343208
C06_Cathlin__S26	C06_Cathlin__S26.bam	6326106.0	6264421.0	883638095.0	883568562.0	266.3124	235.0	38.6151	0.0151	72.6849	99.02491358823264
C08_Caroline__S32	C08_Caroline__S32.bam	3847380.0	3820810.0	532910119.0	532860807.0	299.7917	265.0	38.7502	0.0186	43.8353	99.30940016322796
C09_Cindy__S38	C09_Cindy__S38.bam	4708192.0	4474078.0	605570347.0	605520665.0	278.6879	244.0	37.9875	0.0175	49.8121	95.02751799416846
D01_Jessie_S4	D01_Jessie_S4.bam	6597554.0	6514737.0	931924850.0	931859114.0	279.0803	253.0	38.9606	0.017	76.6568	98.74473175967941
D02_Jenny_S9	D02_Jenny_S9.bam	7810636.0	7633048.0	995360339.0	995281681.0	250.4145	222.0	37.6805	0.0136	81.8748	97.72633112079477
D04_Hedieh__S15	D04_Hedieh__S15.bam	6798418.0	6764646.0	949507707.0	949437408.0	261.2083	229.0	38.7781	0.0147	78.1031	99.50323737081186
D05_Chiara__S21	D05_Chiara__S21.bam	4862066.0	4722507.0	638635510.0	638569508.0	266.6117	232.0	38.0832	0.0164	52.5319	97.12963583793392
D06_Larissa_S27	D06_Larissa_S27.bam	6380630.0	6252956.0	818812091.0	818738626.0	258.8972	228.0	37.6336	0.0153	67.3526	97.99903771257698
D08_Naomi__S33	D08_Naomi__S33.bam	3783910.0	3760661.0	554362023.0	554316290.0	334.7526	319.0	39.4185	0.0203	45.5998	99.38558263806486
D09_Jade__S39	D09_Jade__S39.bam	5317584.0	5247984.0	722421749.0	722357415.0	264.6746	230.0	38.3979	0.0157	59.4238	98.69113492142296
E01_Isabella__S5	E01_Isabella__S5.bam	5186206.0	5065600.0	665005121.0	664946427.0	261.3456	230.0	37.5783	0.0151	54.7009	97.67448497032319
E02_Maia_S10	E02_Maia_S10.bam	6275114.0	6164684.0	828568817.0	828490528.0	262.5146	229.0	38.3019	0.0144	68.1551	98.24019133357578
E04_Ron_S16	E04_Ron_S16.bam	2732068.0	2697748.0	391743728.0	391708647.0	303.5943	276.0	39.1886	0.0189	32.2234	98.74380871925588
E05_Mohamad__S22	E05_Mohamad__S22.bam	5305314.0	5242107.0	760356774.0	760303738.0	283.2272	256.0	38.9391	0.0173	62.5442	98.80860963177675
E06_Alina__S28	E06_Alina__S28.bam	6798224.0	6716843.0	937786028.0	937716219.0	255.4419	223.0	38.4475	0.0143	77.1389	98.80290793595505
E08_Ayouni__S34	E08_Ayouni__S34.bam	6840904.0	6807535.0	939614331.0	939533236.0	251.6223	221.0	38.6446	0.0143	77.2893	99.51221359048454
E09_Aahmad__S40	E09_Aahmad__S40.bam	2976754.0	1817819.0	267123416.0	267101987.0	326.9939	304.0	38.8987	0.021	21.9726	61.067155700471055
F01_Amelia__S6	F01_Amelia__S6.bam	7450084.0	7358132.0	1022057375.0	1021980607.0	258.3067	226.0	38.6156	0.0153	84.0708	98.76575888271863
F02_Jana_S11	F02_Jana_S11.bam	7321778.0	7175057.0	954363561.0	954278982.0	247.355	217.0	38.0286	0.0139	78.5025	97.99610149338042
F04_Ahwar__S17	F04_Ahwar__S17.bam	4000980.0	3967977.0	563016375.0	562964103.0	280.9971	246.0	38.9768	0.017	46.3117	99.175127093862
F05_Vicky__S23	F05_Vicky__S23.bam	7398984.0	7206349.0	872312145.0	872237819.0	241.3921	221.0	36.519	0.013	71.7533	97.39646686626163
F06_Adriana__S29	F06_Adriana__S29.bam	3982584.0	3919956.0	567093686.0	567046486.0	312.6234	281.0	38.7758	0.0191	46.6471	98.42745313093208
F08_Jerry_S35	F08_Jerry_S35.bam	5142978.0	5091571.0	706618779.0	706561426.0	273.7172	241.0	38.6901	0.0161	58.1239	99.00044293403549
F09_Jian_Rong__S41	F09_Jian_Rong__S41.bam	4154680.0	4127995.0	575470080.0	575418510.0	285.4456	249.0	38.4808	0.0187	47.3361	99.35771226664869
